id,innings,over_number,runs,winning_team,final_score
1001349,1,1,6,1.0,168
1001349,1,2,13,1.0,168
1001349,1,3,19,1.0,168
1001349,1,4,27,1.0,168
1001349,1,5,43,1.0,168
1001349,1,6,47,1.0,168
1001349,1,7,53,1.0,168
1001349,1,8,61,1.0,168
1001349,1,9,67,1.0,168
1001349,1,10,75,1.0,168
1001349,1,11,78,1.0,168
1001349,1,12,89,1.0,168
1001349,1,13,93,1.0,168
1001349,1,14,100,1.0,168
1001349,1,15,116,1.0,168
1001349,1,16,129,1.0,168
1001349,1,17,139,1.0,168
1001349,1,18,148,1.0,168
1001349,1,19,154,1.0,168
1001349,1,20,168,1.0,168
1001349,2,1,5,1.0,172
1001349,2,2,15,1.0,172
1001349,2,3,22,1.0,172
1001349,2,4,46,1.0,172
1001349,2,5,51,1.0,172
1001349,2,6,62,1.0,172
1001349,2,7,67,1.0,172
1001349,2,8,73,1.0,172
1001349,2,9,80,1.0,172
1001349,2,10,88,1.0,172
1001349,2,11,93,1.0,172
1001349,2,12,98,1.0,172
1001349,2,13,107,1.0,172
1001349,2,14,120,1.0,172
1001349,2,15,127,1.0,172
1001349,2,16,140,1.0,172
1001349,2,17,151,1.0,172
1001349,2,18,157,1.0,172
1001349,2,19,163,1.0,172
1001349,2,20,172,1.0,172
1001351,1,1,7,1.0,173
1001351,1,2,17,1.0,173
1001351,1,3,18,1.0,173
1001351,1,4,30,1.0,173
1001351,1,5,38,1.0,173
1001351,1,6,60,1.0,173
1001351,1,7,64,1.0,173
1001351,1,8,67,1.0,173
1001351,1,9,74,1.0,173
1001351,1,10,80,1.0,173
1001351,1,11,95,1.0,173
1001351,1,12,103,1.0,173
1001351,1,13,111,1.0,173
1001351,1,14,119,1.0,173
1001351,1,15,125,1.0,173
1001351,1,16,134,1.0,173
1001351,1,17,144,1.0,173
1001351,1,18,159,1.0,173
1001351,1,19,166,1.0,173
1001351,1,20,173,1.0,173
1001351,2,1,5,1.0,176
1001351,2,2,22,1.0,176
1001351,2,3,27,1.0,176
1001351,2,4,33,1.0,176
1001351,2,5,41,1.0,176
1001351,2,6,45,1.0,176
1001351,2,7,51,1.0,176
1001351,2,8,62,1.0,176
1001351,2,9,66,1.0,176
1001351,2,10,74,1.0,176
1001351,2,11,83,1.0,176
1001351,2,12,88,1.0,176
1001351,2,13,95,1.0,176
1001351,2,14,110,1.0,176
1001351,2,15,115,1.0,176
1001351,2,16,122,1.0,176
1001351,2,17,126,1.0,176
1001351,2,18,138,1.0,176
1001351,2,19,160,1.0,176
1001351,2,20,176,1.0,176
1001353,1,1,1,-1.0,187
1001353,1,2,15,-1.0,187
1001353,1,3,26,-1.0,187
1001353,1,4,35,-1.0,187
1001353,1,5,53,-1.0,187
1001353,1,6,62,-1.0,187
1001353,1,7,66,-1.0,187
1001353,1,8,78,-1.0,187
1001353,1,9,81,-1.0,187
1001353,1,10,93,-1.0,187
1001353,1,11,100,-1.0,187
1001353,1,12,107,-1.0,187
1001353,1,13,124,-1.0,187
1001353,1,14,128,-1.0,187
1001353,1,15,135,-1.0,187
1001353,1,16,147,-1.0,187
1001353,1,17,167,-1.0,187
1001353,1,18,177,-1.0,187
1001353,1,19,182,-1.0,187
1001353,1,20,187,-1.0,187
1001353,2,1,8,-1.0,146
1001353,2,2,28,-1.0,146
1001353,2,3,35,-1.0,146
1001353,2,4,43,-1.0,146
1001353,2,5,50,-1.0,146
1001353,2,6,60,-1.0,146
1001353,2,7,66,-1.0,146
1001353,2,8,69,-1.0,146
1001353,2,9,75,-1.0,146
1001353,2,10,78,-1.0,146
1001353,2,11,88,-1.0,146
1001353,2,12,91,-1.0,146
1001353,2,13,99,-1.0,146
1001353,2,14,112,-1.0,146
1001353,2,15,121,-1.0,146
1001353,2,16,136,-1.0,146
1001353,2,17,140,-1.0,146
1001353,2,18,146,-1.0,146
1001353,2,19,140,-1.0,146
1001353,2,20,140,-1.0,146
1004729,1,1,3,1.0,169
1004729,1,2,15,1.0,169
1004729,1,3,18,1.0,169
1004729,1,4,32,1.0,169
1004729,1,5,54,1.0,169
1004729,1,6,63,1.0,169
1004729,1,7,67,1.0,169
1004729,1,8,71,1.0,169
1004729,1,9,81,1.0,169
1004729,1,10,87,1.0,169
1004729,1,11,94,1.0,169
1004729,1,12,97,1.0,169
1004729,1,13,107,1.0,169
1004729,1,14,110,1.0,169
1004729,1,15,122,1.0,169
1004729,1,16,131,1.0,169
1004729,1,17,141,1.0,169
1004729,1,18,150,1.0,169
1004729,1,19,160,1.0,169
1004729,1,20,169,1.0,169
1004729,2,1,5,1.0,129
1004729,2,2,6,1.0,129
1004729,2,3,10,1.0,129
1004729,2,4,18,1.0,129
1004729,2,5,24,1.0,129
1004729,2,6,26,1.0,129
1004729,2,7,30,1.0,129
1004729,2,8,43,1.0,129
1004729,2,9,51,1.0,129
1004729,2,10,64,1.0,129
1004729,2,11,69,1.0,129
1004729,2,12,82,1.0,129
1004729,2,13,91,1.0,129
1004729,2,14,105,1.0,129
1004729,2,15,113,1.0,129
1004729,2,16,116,1.0,129
1004729,2,17,123,1.0,129
1004729,2,18,125,1.0,129
1004729,2,19,128,1.0,129
1004729,2,20,129,1.0,129
1007655,1,1,2,-1.0,170
1007655,1,2,14,-1.0,170
1007655,1,3,20,-1.0,170
1007655,1,4,33,-1.0,170
1007655,1,5,33,-1.0,170
1007655,1,6,41,-1.0,170
1007655,1,7,50,-1.0,170
1007655,1,8,57,-1.0,170
1007655,1,9,67,-1.0,170
1007655,1,10,72,-1.0,170
1007655,1,11,80,-1.0,170
1007655,1,12,91,-1.0,170
1007655,1,13,98,-1.0,170
1007655,1,14,100,-1.0,170
1007655,1,15,111,-1.0,170
1007655,1,16,115,-1.0,170
1007655,1,17,130,-1.0,170
1007655,1,18,134,-1.0,170
1007655,1,19,155,-1.0,170
1007655,1,20,170,-1.0,170
1007655,2,1,8,-1.0,168
1007655,2,2,13,-1.0,168
1007655,2,3,16,-1.0,168
1007655,2,4,29,-1.0,168
1007655,2,5,39,-1.0,168
1007655,2,6,44,-1.0,168
1007655,2,7,47,-1.0,168
1007655,2,8,55,-1.0,168
1007655,2,9,60,-1.0,168
1007655,2,10,69,-1.0,168
1007655,2,11,79,-1.0,168
1007655,2,12,89,-1.0,168
1007655,2,13,92,-1.0,168
1007655,2,14,108,-1.0,168
1007655,2,15,118,-1.0,168
1007655,2,16,130,-1.0,168
1007655,2,17,142,-1.0,168
1007655,2,18,150,-1.0,168
1007655,2,19,163,-1.0,168
1007655,2,20,168,-1.0,168
1007657,1,1,5,1.0,99
1007657,1,2,11,1.0,99
1007657,1,3,15,1.0,99
1007657,1,4,25,1.0,99
1007657,1,5,28,1.0,99
1007657,1,6,35,1.0,99
1007657,1,7,37,1.0,99
1007657,1,8,46,1.0,99
1007657,1,9,47,1.0,99
1007657,1,10,52,1.0,99
1007657,1,11,57,1.0,99
1007657,1,12,57,1.0,99
1007657,1,13,68,1.0,99
1007657,1,14,73,1.0,99
1007657,1,15,76,1.0,99
1007657,1,16,81,1.0,99
1007657,1,17,84,1.0,99
1007657,1,18,86,1.0,99
1007657,1,19,90,1.0,99
1007657,1,20,99,1.0,99
1007657,2,1,2,1.0,103
1007657,2,2,7,1.0,103
1007657,2,3,10,1.0,103
1007657,2,4,18,1.0,103
1007657,2,5,28,1.0,103
1007657,2,6,37,1.0,103
1007657,2,7,45,1.0,103
1007657,2,8,55,1.0,103
1007657,2,9,61,1.0,103
1007657,2,10,74,1.0,103
1007657,2,11,84,1.0,103
1007657,2,12,93,1.0,103
1007657,2,13,99,1.0,103
1007657,2,14,103,1.0,103
1007657,2,15,99,1.0,103
1007657,2,16,99,1.0,103
1007657,2,17,99,1.0,103
1007657,2,18,99,1.0,103
1007657,2,19,99,1.0,103
1007657,2,20,99,1.0,103
1007659,1,1,0,1.0,138
1007659,1,2,4,1.0,138
1007659,1,3,20,1.0,138
1007659,1,4,23,1.0,138
1007659,1,5,27,1.0,138
1007659,1,6,29,1.0,138
1007659,1,7,34,1.0,138
1007659,1,8,39,1.0,138
1007659,1,9,49,1.0,138
1007659,1,10,53,1.0,138
1007659,1,11,61,1.0,138
1007659,1,12,69,1.0,138
1007659,1,13,78,1.0,138
1007659,1,14,85,1.0,138
1007659,1,15,87,1.0,138
1007659,1,16,93,1.0,138
1007659,1,17,95,1.0,138
1007659,1,18,111,1.0,138
1007659,1,19,122,1.0,138
1007659,1,20,138,1.0,138
1007659,2,1,1,1.0,135
1007659,2,2,11,1.0,135
1007659,2,3,19,1.0,135
1007659,2,4,32,1.0,135
1007659,2,5,38,1.0,135
1007659,2,6,40,1.0,135
1007659,2,7,43,1.0,135
1007659,2,8,51,1.0,135
1007659,2,9,58,1.0,135
1007659,2,10,59,1.0,135
1007659,2,11,62,1.0,135
1007659,2,12,71,1.0,135
1007659,2,13,74,1.0,135
1007659,2,14,88,1.0,135
1007659,2,15,91,1.0,135
1007659,2,16,97,1.0,135
1007659,2,17,104,1.0,135
1007659,2,18,107,1.0,135
1007659,2,19,118,1.0,135
1007659,2,20,135,1.0,135
1019979,1,1,4,-1.0,141
1019979,1,2,11,-1.0,141
1019979,1,3,12,-1.0,141
1019979,1,4,22,-1.0,141
1019979,1,5,30,-1.0,141
1019979,1,6,34,-1.0,141
1019979,1,7,38,-1.0,141
1019979,1,8,48,-1.0,141
1019979,1,9,60,-1.0,141
1019979,1,10,65,-1.0,141
1019979,1,11,67,-1.0,141
1019979,1,12,70,-1.0,141
1019979,1,13,75,-1.0,141
1019979,1,14,84,-1.0,141
1019979,1,15,97,-1.0,141
1019979,1,16,100,-1.0,141
1019979,1,17,114,-1.0,141
1019979,1,18,123,-1.0,141
1019979,1,19,136,-1.0,141
1019979,1,20,141,-1.0,141
1019979,2,1,8,-1.0,143
1019979,2,2,17,-1.0,143
1019979,2,3,28,-1.0,143
1019979,2,4,30,-1.0,143
1019979,2,5,34,-1.0,143
1019979,2,6,43,-1.0,143
1019979,2,7,47,-1.0,143
1019979,2,8,51,-1.0,143
1019979,2,9,57,-1.0,143
1019979,2,10,61,-1.0,143
1019979,2,11,71,-1.0,143
1019979,2,12,76,-1.0,143
1019979,2,13,81,-1.0,143
1019979,2,14,93,-1.0,143
1019979,2,15,108,-1.0,143
1019979,2,16,125,-1.0,143
1019979,2,17,130,-1.0,143
1019979,2,18,143,-1.0,143
1019979,2,19,130,-1.0,143
1019979,2,20,130,-1.0,143
1019981,1,1,8,-1.0,195
1019981,1,2,20,-1.0,195
1019981,1,3,30,-1.0,195
1019981,1,4,40,-1.0,195
1019981,1,5,42,-1.0,195
1019981,1,6,49,-1.0,195
1019981,1,7,55,-1.0,195
1019981,1,8,70,-1.0,195
1019981,1,9,75,-1.0,195
1019981,1,10,87,-1.0,195
1019981,1,11,92,-1.0,195
1019981,1,12,107,-1.0,195
1019981,1,13,135,-1.0,195
1019981,1,14,145,-1.0,195
1019981,1,15,153,-1.0,195
1019981,1,16,163,-1.0,195
1019981,1,17,171,-1.0,195
1019981,1,18,179,-1.0,195
1019981,1,19,190,-1.0,195
1019981,1,20,195,-1.0,195
1019981,2,1,2,-1.0,148
1019981,2,2,13,-1.0,148
1019981,2,3,24,-1.0,148
1019981,2,4,36,-1.0,148
1019981,2,5,41,-1.0,148
1019981,2,6,48,-1.0,148
1019981,2,7,64,-1.0,148
